ROUTE ID,DIRECTION,TRIP ID,TRAIN ID,UNIX DATETIME,DATE TIME,STOP ID,STOP NAME,UPDATE TYPE
Q,N,047350_Q..N16R,1Q 0753+ STL/962,1709042412,2024-02-27 09:00:12,R16N,Times Sq - 42 St,4
Q,N,051850_Q..N16R,1Q 0838+ STL/962,1709042447,2024-02-27 09:00:47,D27N,Parkside Av,4
Q,N,047950_Q..N16R,1Q 0759+ STL/962,1709042448,2024-02-27 09:00:48,R20N,14 St - Union Sq,4
Q,N,050950_Q..N16R,1Q 0829+ STL/962,1709042472,2024-02-27 09:01:12,D25N,7 Av,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709042520,2024-02-27 09:02:00,D35N,Kings Hwy,4
Q,N,053350_Q..N16R,1Q 0853+ STL/962,1709042542,2024-02-27 09:02:22,D39N,Sheepshead Bay,4
Q,N,051850_Q..N16R,1Q 0838+ STL/962,1709042557,2024-02-27 09:02:37,D26N,Prospect Park,4
Q,N,048700_Q..N16R,1Q 0807 STL/962,1709042580,2024-02-27 09:03:00,R20N,14 St - Union Sq,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709042581,2024-02-27 09:03:01,D34N,Avenue M,4
Q,N,047350_Q..N16R,1Q 0753+ STL/962,1709042602,2024-02-27 09:03:22,R14N,57 St - 7 Av,4
Q,N,050950_Q..N16R,1Q 0829+ STL/962,1709042627,2024-02-27 09:03:47,D24N,Atlantic Av - Barclays Ctr,4
Q,N,053350_Q..N16R,1Q 0853+ STL/962,1709042628,2024-02-27 09:03:48,D38N,Neck Rd,4
Q,N,047950_Q..N16R,1Q 0759+ STL/962,1709042662,2024-02-27 09:04:22,R17N,34 St - Herald Sq,4
Q,N,053350_Q..N16R,1Q 0853+ STL/962,1709042687,2024-02-27 09:04:47,D37N,Avenue U,4
Q,N,054100_Q..N16R,1Q 0901 STL/962,1709042687,2024-02-27 09:04:47,D42N,W 8 St - NY Aquarium,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709042687,2024-02-27 09:04:47,D33N,Avenue J,4
Q,N,049300_Q..N16R,1Q 0813 STL/962,1709042722,2024-02-27 09:05:22,R20N,14 St - Union Sq,4
Q,N,051850_Q..N16R,1Q 0838+ STL/962,1709042760,2024-02-27 09:06:00,D25N,7 Av,4
Q,N,050150_Q..N16R,1Q 0821+ STL/962,1709042782,2024-02-27 09:06:22,Q01N,Canal St,4
Q,N,047950_Q..N16R,1Q 0759+ STL/962,1709042782,2024-02-27 09:06:22,R16N,Times Sq - 42 St,4
Q,N,050950_Q..N16R,1Q 0829+ STL/962,1709042782,2024-02-27 09:06:22,R30N,DeKalb Av,4
Q,N,054100_Q..N16R,1Q 0901 STL/962,1709042783,2024-02-27 09:06:23,D41N,Ocean Pkwy,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709042783,2024-02-27 09:06:23,D32N,Avenue H,4
Q,N,048700_Q..N16R,1Q 0807 STL/962,1709042797,2024-02-27 09:06:37,R17N,34 St - Herald Sq,4
Q,N,047350_Q..N16R,1Q 0753+ STL/962,1709042832,2024-02-27 09:07:12,B08N,Lexington Av/63 St,4
Q,N,052600_Q..N16R,1Q 0846 STL/962,1709042867,2024-02-27 09:07:47,D31N,Newkirk Plaza,4
Q,N,053350_Q..N16R,1Q 0853+ STL/962,1709042868,2024-02-27 09:07:48,D35N,Kings Hwy,4
